Basin.Name,Native.Exotic.Status,Equilibrium,Opportunistic,Periodic,Country,Ecoregion,Median.Longitude,Median.Latitude,RBA,MAT,TS,GDP,CSI,NSR,PRD,SRD
Ancharakandi,Non-native,0.758129529,0.009934655,0.231935816,India,Indo-Malay,75.6038021,11.86406387,369.8943832,26.66954981,139.3016272,8.649629474,99.75409354,28,0.56,0.767857143
Andakilsa,Native,0.288833184,0,0.711166816,Iceland,Palearctic,-21.48280947,64.49633481,219.6690083,2.686018996,454.4874757,4.361910522,99.9473352,3,0.24,0.375
Andalien,Native,0.108523214,0.422172788,0.469303998,Chile,Neotropic,-72.81967683,-36.82492457,767.4691481,12.2272175,328.5029839,4.66740042,99.67748291,15,0.39,0.717948718
Andalien,Non-native,0.43443023,0.237050196,0.328519574,Chile,Neotropic,-72.81967683,-36.82492457,767.4691481,12.2272175,328.5029839,4.66740042,99.67748291,15,0.39,0.717948718
Andella.Oya,Native,0.110940937,0.382317076,0.506741987,Sri Lanka,Indo-Malay,81.6082882,7.428638247,537.057988,27.4797196,137.8680101,3.374859512,87.38880252,30,0.52,0.557692308
Andella.Oya,Non-native,0.417017478,0.239760474,0.343222047,Sri Lanka,Indo-Malay,81.6082882,7.428638247,537.057988,27.4797196,137.8680101,3.374859512,87.38880252,30,0.52,0.557692308
Anderson,Native,0.176505304,0.069635241,0.753859455,Canada,Nearctic,-126.6961369,67.94525726,75967.68518,-8.937074493,1534.306217,0.000133251,100,17,0.6,0.65
Andranangoo,Native,0.253711802,0.16887733,0.577410868,Australia,Australasia,130.9453399,-11.51299454,513.1968782,27.1898186,153.1594854,0.039841142,99.99388598,11,0.62,0.483870968
Andreevka,Native,0.452334677,0.095084888,0.452580435,Russia,Palearctic,145.5550924,43.84550409,22.52417306,5.440090076,798.2001442,1.453057975,99.9,2,NA,NA
Angermanalven,Native,0.156237641,0.147276987,0.696485372,Sweden,Palearctic,15.85563933,64.33996651,31493.16449,0.77674945,843.7768566,0.299522631,94.64905711,19,0.28,0.714285714
Angermanalven,Non-native,0.307856244,0,0.692143756,Sweden,Palearctic,15.85563933,64.33996651,31493.16449,0.77674945,843.7768566,0.299522631,94.64905711,19,0.28,0.714285714
Anglesea,Native,0.050528134,0.473851736,0.47562013,Australia,Australasia,144.1169645,-38.37016018,133.5280617,13.62239845,317.6221171,6.661511779,99.90706966,3,0.3,0.266666667
Angurugu.creek,Native,0.060562109,0.403342286,0.536095605,Australia,Australasia,136.5145767,-13.97598473,173.2146766,26.65595531,249.8067506,0.05070917,99.93958302,9,0.62,0.370967742
Aniakchak,Native,0.320590583,0.096480029,0.582929388,United States,Nearctic,-157.5111778,56.82873747,86.2259121,2.419809942,604.8139959,0.002181877,100,15,0.33,0.545454545
Ankobra,Native,0.113728291,0.452914823,0.433356886,Ghana,Afrotropic,-2.10585545,5.584979686,8442.055058,26.32644082,103.7893904,0.938689172,99.97186539,27,0.22,0.772727273
Annan.Aus,Native,0.028710251,0.444804506,0.526485243,Australia,Australasia,145.1839775,-15.64548305,1095.847718,24.77758598,218.8727532,0.047263789,99.95845501,16,0.69,0.275362319
Annan.UK,Native,0.085492587,0.173876326,0.740631087,United Kingdom,Palearctic,-3.407012904,55.2222027,963.2144464,7.818772405,415.7844936,33.11868,99.87387158,17,0.23,0.608695652
Annan.UK,Non-native,0.090514296,0.11074022,0.798745483,United Kingdom,Palearctic,-3.407012904,55.2222027,963.2144464,7.818772405,415.7844936,33.11868,99.87387158,17,0.23,0.608695652
Ansan,Native,0.125992211,0.259633296,0.614374494,South Korea,Palearctic,126.8472034,37.33405118,50.99229823,11.61672217,1028.357083,121.1980896,94.59873779,15,0.4,0.625
Ansan,Non-native,0,0.088214167,0.911785833,South Korea,Palearctic,126.8472034,37.33405118,50.99229823,11.61672217,1028.357083,121.1980896,94.59873779,15,0.4,0.625
