"","Life.span","Fecundity","Parental.care","Age.at.maturation","Offspring.size","Max.total.length","Trophic.level","K.value"
"Iberochondrostoma_almacai",4,3199.956702,1,1.412461655,1.509450337,14.80000019,2.910000086,0.379999995
"Iberochondrostoma_lusitanicum",4.674903697,3176.962396,1,1.437788206,1.517957566,15.10000038,2.910000086,0.370000005
"Chondrostoma_nasus",15,16250,1,4.5,1.834206572,50,2,0.239999995
"Chondrostoma_holmwoodii",5,24850,1,2,1.629202139,28.20000076,2.5,0.209999993
"Chondrostoma_prespense",5,5354.049176,1,2,1.678728999,32.93999863,2,0.180000007
"Chondrostoma_vardarense",8.084618704,9813.994037,1,2.553717182,1.727262159,42.70000076,2.420000076,0.140000001
"Chondrostoma_oxyrhynchum",7.879472744,9684.952458,1,2,1.717053621,56.11999893,2.359999895,0.109999999
"Chondrostoma_regium",7,10090,1,2.206007651,1.66063772,40,2.430000067,0.209999993
"Protochondrostoma_genei",6.418045769,8023.403818,1,2.016654507,1.634416804,30,2.720000029,0.200000003
"Chondrostoma_soetta",8.258653197,10385.21262,1,3.25,1.747342234,45,2.779999971,0.129999995
"Chondrostoma_knerii",8,12500,1,1.98,1.653652504,29.39999962,2.49000001,0.200000003
"Pseudophoxinus_maeandri",5.830195464,8339.059532,1,2.067164055,1.621231862,7,2.789999962,0.75
"Chondrostoma_fahirae",7.101351251,6678.40130999999,1,2.280351963,1.676181809,14,2.630000114,0.400000006
"Pseudophoxinus_antalyae",12.6662402,8663.474668,1,2.117989617,1.606647947,17,2.630000114,0.230000004
"Pseudophoxinus_handlirschi",5.606930888,8099.605502,1,2.00172959,1.608810043,12,2.690000057,0.460000008
"Pseudophoxinus_battalgilae",5.488235048,7443.814314,1,1.98487078,1.604332864,13.38000011,2.680000067,0.409999996
"Pseudophoxinus_crassus",5.671553709,7865.706564,1,2.073291274,1.588744817,19.79999924,2.609999895,0.289999992
"Pseudophoxinus_anatolicus",6.028401558,9185.94875199999,1,2.166702185,1.610990049,29.77000046,2.539999962,0.200000003
